Po_day,Pp_s,gamma1
0.100000,0.001000,0.134720
0.100000,0.005000,0.250005
0.100000,0.010000,0.324725
0.100000,0.050000,0.574945
0.100000,0.100000,0.698706
0.100000,1.000000,0.982767
0.200000,0.001000,0.173881
0.200000,0.005000,0.336814
0.200000,0.010000,0.441051
0.200000,0.050000,0.729335
0.200000,0.100000,0.838240
0.200000,1.000000,0.997002
0.500000,0.001000,0.273370
0.500000,0.005000,0.523028
0.500000,0.010000,0.652275
0.500000,0.050000,0.906466
0.500000,0.100000,0.974055
0.500000,1.000000,0.999732
1.000000,0.001000,0.397129
1.000000,0.005000,0.691677
1.000000,0.010000,0.809909
1.000000,0.050000,0.983392
1.000000,0.100000,0.995782
1.000000,1.000000,0.999958
10.000000,0.001000,0.895323
10.000000,0.005000,0.995307
10.000000,0.010000,0.998823
10.000000,0.050000,0.999953
10.000000,0.100000,0.999988
10.000000,1.000000,1.000000
100.000000,0.001000,0.970333
100.000000,0.005000,0.998803
100.000000,0.010000,0.999701
100.000000,0.050000,0.999988
100.000000,0.100000,0.999997
100.000000,1.000000,1.000000
